id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts79023,2018,129,['documentation'],1,0.0,0
ts82747,2018,23,"['comedy', 'documentation']",5,6.8,1091
ts84394,2018,60,"['drama', 'crime', 'european']",1,7.8,3418
ts56299,2017,48,"['drama', 'romance', 'comedy', 'fantasy']",2,7.6,409
ts54061,2017,40,['reality'],8,8.5,337
ts80283,2018,11,"['animation', 'action', 'comedy', 'scifi', 'sport']",2,6.8,683
ts76165,2017,11,"['animation', 'comedy']",2,7.3,83
ts80759,2018,29,"['documentation', 'sport']",1,6.1,408
ts84649,2018,30,['documentation'],4,6.5,359
ts89581,2018,10,"['animation', 'comedy', 'family']",3,4.0,824
ts77892,2018,11,"['comedy', 'animation', 'horror', 'scifi', 'action', 'crime']",2,5.8,362
ts55362,2017,24,[],2,4.9,290
ts86591,2018,21,['reality'],2,7.2,72
ts82377,2018,11,['comedy'],1,5.3,375
ts76184,2017,24,"['reality', 'comedy']",4,7.4,10
ts187021,2018,24,['reality'],1,8.4,25
ts80817,2017,27,"['drama', 'comedy']",1,5.3,34
ts104318,2017,24,['reality'],1,0.0,0
ts110062,2018,23,[],1,5.4,74
ts87383,2020,60,"['drama', 'history', 'crime']",2,7.5,20432
ts67396,2019,28,"['comedy', 'scifi', 'fantasy']",4,8.3,18894
ts88632,2019,65,"['drama', 'thriller', 'history']",1,9.4,779097
ts74636,2019,53,"['scifi', 'drama', 'family', 'fantasy']",3,7.8,77724
ts76135,2019,23,"['scifi', 'action', 'animation', 'comedy', 'crime', 'fantasy']",4,8.5,32230
ts87074,2019,58,"['crime', 'drama']",2,8.4,196454
ts80537,2019,21,"['comedy', 'drama', 'fantasy', 'romance']",4,7.1,15499
ts84322,2019,36,"['comedy', 'drama']",3,8.1,34300
ts81095,2019,50,"['scifi', 'action', 'comedy', 'drama']",4,7.8,55247
ts302787,2020,45,"['drama', 'thriller', 'comedy']",2,7.1,58008
ts186758,2020,28,"['comedy', 'scifi']",2,6.6,20794
ts84351,2020,61,"['drama', 'scifi', 'thriller', 'fantasy', 'horror']",1,7.1,43642
ts186931,2019,20,"['romance', 'comedy']",5,6.9,4596
ts90946,2019,22,"['animation', 'drama', 'action', 'fantasy', 'horror']",2,8.7,16295
