id,release_year,runtime,genres,seasons,imdb_score,imdb_votes
ts23620,2009,45,"['drama', 'crime', 'thriller', 'european']",4,7.8,13673
ts21533,2010,38,"['reality', 'action', 'european']",29,2.9,15
ts28522,2006,30,"['scifi', 'comedy']",2,6.7,2289
ts37799,2006,40,"['reality', 'european']",17,7.4,410
ts17018,2001,21,"['drama', 'animation', 'comedy', 'family', 'romance']",4,6.4,3399
ts16284,2008,46,"['drama', 'action', 'crime', 'family', 'documentation', 'comedy']",3,7.1,904
ts84399,2010,43,['comedy'],2,7.4,288
ts57359,2008,107,"['drama', 'war', 'european']",1,7.4,284
ts18257,2006,45,"['reality', 'romance']",3,4.6,2244
ts1096,2005,23,"['animation', 'scifi', 'romance', 'action', 'comedy', 'drama', 'family', 'fantasy']",2,7.1,548
ts34311,2007,24,"['action', 'drama', 'horror', 'scifi', 'thriller']",1,7.1,87
ts45581,2009,22,"['comedy', 'family']",2,5.3,385
ts20870,2002,44,"['drama', 'action', 'scifi']",2,7.0,4489
ts26678,2008,36,['drama'],3,8.2,417
ts21664,2001,20,['comedy'],5,7.1,2401
ts12965,2001,22,"['comedy', 'drama', 'family']",5,7.1,8072
ts22051,2007,51,"['drama', 'romance', 'comedy']",6,6.8,27198
ts23273,2002,58,"['drama', 'crime']",3,7.6,786
ts30466,2010,25,['reality'],2,4.4,35
ts20593,2006,24,"['comedy', 'action', 'romance', 'animation']",2,8.1,2236
ts21706,2006,25,"['drama', 'scifi', 'family', 'fantasy']",3,7.2,16221
ts6825,2010,26,"['drama', 'romance']",5,7.2,2520
ts21742,2003,24,"['animation', 'music', 'family', 'comedy']",2,5.1,420
ts30320,2010,46,['reality'],1,3.9,41
ts21210,2009,22,"['comedy', 'animation']",2,4.3,1102
ts27459,2008,45,"['action', 'drama']",1,7.0,1422
ts45318,2009,52,"['crime', 'european']",2,6.6,204
ts32321,2007,52,"['drama', 'crime']",2,6.8,378
ts20535,2009,18,"['animation', 'comedy', 'family', 'european']",5,5.4,2791
ts1401,2003,11,"['animation', 'comedy']",1,7.6,843
ts26320,2008,41,['reality'],3,6.3,84
ts21196,2006,23,"['scifi', 'family', 'horror', 'animation', 'comedy']",2,7.7,1208
ts55642,2010,47,"['documentation', 'history', 'european']",1,7.6,340
ts21994,2007,29,"['action', 'romance', 'horror', 'scifi', 'thriller', 'comedy', 'crime', 'family']",7,6.2,1273
ts24531,2002,24,"['drama', 'comedy', 'romance', 'animation', 'family', 'fantasy']",2,8.1,1073
ts8805,2009,21,"['animation', 'family']",7,6.5,1350
ts30401,2010,21,['reality'],1,5.5,26
ts19187,2008,9,"['animation', 'comedy', 'family']",4,8.2,64
ts43866,2009,53,"['documentation', 'crime', 'comedy', 'drama', 'horror']",1,7.4,28
ts28500,2006,13,"['comedy', 'animation', 'scifi', 'romance', 'action', 'family']",5,6.7,4566
ts1763,2010,59,"['reality', 'documentation']",1,8.8,521
ts35948,2003,39,"['reality', 'documentation', 'european']",22,8.2,3316
ts4091,2002,25,"['comedy', 'family', 'scifi', 'animation']",12,6.9,2696
ts21183,2008,27,"['animation', 'family', 'comedy']",4,5.4,731
ts22233,2010,25,"['comedy', 'family']",3,8.0,88
ts6618,2009,27,['comedy'],4,4.8,49
ts21445,2005,26,"['comedy', 'family', 'scifi', 'animation']",2,4.8,210
ts26428,2008,24,"['scifi', 'action', 'fantasy', 'animation']",5,6.9,1785
ts31759,2001,25,['family'],3,6.1,1074
ts12930,2009,22,"['animation', 'family', 'fantasy', 'thriller', 'action']",5,6.4,1963
ts52141,2010,46,['reality'],1,7.6,21
ts32764,2007,29,"['animation', 'family']",3,6.7,459
ts17022,2007,24,"['animation', 'family']",2,6.4,154
ts13841,2005,46,"['comedy', 'family', 'reality', 'european']",6,5.0,4101
ts25762,2008,59,"['comedy', 'drama', 'scifi', 'crime']",1,7.1,233
ts250942,2010,12,[],1,0.0,0
ts79596,2003,73,[],1,0.0,0
ts78263,2004,73,"['drama', 'thriller', 'romance']",1,7.0,652
ts70119,2008,46,"['documentation', 'crime']",5,7.9,68
ts22345,2007,20,"['animation', 'scifi', 'action', 'comedy', 'family']",9,7.1,1312
ts34907,2003,24,"['comedy', 'animation', 'family', 'fantasy']",5,6.9,685
ts22217,2010,25,"['animation', 'family', 'comedy']",7,4.3,1828
ts56589,2010,11,"['animation', 'comedy', 'family']",6,5.3,165
ts5454,2005,24,"['animation', 'family']",4,6.3,394
ts43315,2004,15,"['animation', 'family']",2,7.5,74
ts20470,2008,22,"['action', 'comedy', 'scifi', 'fantasy', 'thriller', 'family', 'animation']",3,6.1,3554
ts15754,2004,45,"['drama', 'thriller', 'crime', 'history']",5,8.0,82
ts44876,2010,55,['documentation'],1,8.2,46
ts23319,2009,14,"['animation', 'comedy', 'family', 'fantasy', 'european']",3,6.8,1176
ts29084,2006,56,['drama'],2,0.0,0
ts20565,2008,25,"['comedy', 'drama', 'family']",3,5.9,3295
ts31593,2003,10,"['family', 'animation', 'action', 'scifi', 'comedy', 'fantasy']",7,6.4,104
ts30146,2010,62,"['comedy', 'romance']",1,7.1,3764
ts11630,2003,27,"['animation', 'family', 'comedy']",2,6.6,344
ts13494,2009,29,['documentation'],1,7.2,23
ts29171,2006,22,"['animation', 'comedy', 'family']",3,5.8,408
ts23689,2009,59,['documentation'],1,8.0,81
ts16544,2009,25,['family'],4,7.6,103
ts52515,2003,25,"['thriller', 'animation', 'horror']",1,7.1,270
ts1740,2001,15,"['action', 'animation', 'family', 'european']",3,5.6,484
ts63476,2008,28,['reality'],14,5.8,66
ts2943,2006,29,"['animation', 'family']",1,5.7,60
ts26043,2008,25,"['animation', 'drama', 'comedy', 'romance']",1,7.3,1666
ts13113,2009,15,"['family', 'european']",4,8.0,64
ts20508,2009,22,"['reality', 'comedy']",7,7.6,2819
ts26038,2008,13,"['animation', 'family']",3,6.8,105
ts23357,2009,53,"['documentation', 'reality']",2,6.8,41
ts21497,2010,43,['documentation'],1,6.8,32
