id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts21887,2015,27,"['comedy', 'romance', 'drama']",2,7.5,8893,max
ts35766,2015,52,['drama'],3,7.6,432,max
ts38716,2016,14,"['action', 'family', 'animation', 'fantasy', 'scifi', 'thriller', 'comedy']",3,3.5,4760,max
ts47398,2015,38,"['thriller', 'fantasy', 'horror']",3,7.1,16,max
ts42285,2015,9,"['comedy', 'family', 'animation']",3,5.7,1078,max
ts11807,2015,60,['drama'],1,6.5,3158,max
ts37136,2015,56,"['scifi', 'drama', 'fantasy', 'documentation']",2,6.8,207,max
ts53390,2015,54,"['crime', 'thriller', 'european']",1,7.3,297,max
ts37709,2015,11,"['animation', 'comedy', 'family']",1,6.7,176,max
ts37055,2015,22,"['documentation', 'reality', 'comedy']",6,6.3,412,max
ts41277,2016,29,"['reality', 'comedy']",1,8.6,2775,max
ts55708,2016,35,"['drama', 'comedy']",1,7.6,60,max
ts41505,2016,51,['thriller'],1,6.6,73,max
ts127358,2016,23,['comedy'],2,5.0,144,max
ts134873,2015,11,['comedy'],1,0.0,0,max
ts133640,2016,23,['comedy'],3,2.7,410,max
ts249017,2015,43,['comedy'],3,7.2,394,max
ts58311,2017,59,"['drama', 'crime', 'thriller']",5,7.9,19948,max
ts57131,2017,19,['comedy'],6,7.6,67629,max
ts77979,2018,64,"['drama', 'reality']",4,8.8,160425,max
ts74799,2018,32,"['comedy', 'drama', 'crime', 'action']",3,8.4,86916,max
ts41275,2017,50,"['drama', 'crime']",2,8.5,184531,max
ts55577,2018,55,"['drama', 'crime', 'thriller']",1,8.1,91210,max
ts77107,2018,45,"['action', 'scifi', 'drama', 'fantasy', 'crime']",4,7.6,103967,max
ts79780,2018,58,"['drama', 'romance', 'family', 'european']",3,8.6,15909,max
ts82051,2018,22,"['comedy', 'crime', 'fantasy', 'horror']",4,7.7,4453,max
ts58408,2017,24,['comedy'],3,8.0,5861,max
ts57172,2018,47,"['drama', 'crime']",2,7.7,55907,max
ts82034,2018,26,['comedy'],3,7.6,4225,max
ts42172,2017,65,['drama'],3,8.1,29918,max
ts83292,2018,32,"['comedy', 'scifi', 'drama', 'fantasy']",2,6.8,759,max
ts81460,2018,12,['comedy'],3,8.9,2970,max
ts57021,2017,51,"['drama', 'crime', 'european']",3,8.2,8441,max
ts80189,2018,103,['documentation'],1,0.0,0,max
ts85393,2018,51,"['action', 'drama']",1,6.1,384,max
ts57223,2017,55,"['drama', 'crime', 'horror', 'thriller']",3,7.8,1309,max
ts84626,2018,52,"['thriller', 'drama', 'horror']",2,5.7,565,max
ts80656,2018,11,"['action', 'animation', 'comedy', 'drama', 'family']",4,7.4,2746,max
ts81426,2018,30,"['comedy', 'drama']",1,8.7,364,max
ts77618,2018,58,['comedy'],2,5.8,654,max
ts83827,2018,48,['comedy'],2,7.2,376,max
ts58115,2017,25,"['thriller', 'drama', 'fantasy', 'horror', 'scifi', 'comedy']",4,6.1,5908,max
ts86524,2018,11,"['comedy', 'animation', 'fantasy', 'horror', 'scifi']",2,8.1,2329,max
ts75234,2017,59,"['war', 'drama', 'history', 'european']",1,6.6,10833,max
ts80953,2018,50,"['drama', 'crime']",1,6.9,1185,max
ts78064,2018,29,"['comedy', 'documentation']",2,6.8,462,max
ts54077,2017,30,"['comedy', 'drama']",3,7.6,7884,max
ts235382,2017,7,"['animation', 'comedy']",3,8.5,123,max
ts87128,2017,28,['documentation'],1,6.8,51,max
ts79875,2018,11,"['animation', 'comedy', 'family', 'music']",3,5.5,1676,max
ts77594,2018,50,"['drama', 'thriller', 'crime', 'documentation']",1,6.4,3491,max
ts79023,2018,129,['documentation'],1,0.0,0,max
ts82747,2018,23,"['comedy', 'documentation']",5,6.8,1091,max
ts84394,2018,60,"['drama', 'crime', 'european']",1,7.8,3418,max
ts56299,2017,48,"['drama', 'romance', 'comedy', 'fantasy']",2,7.6,409,max
ts54061,2017,40,['reality'],8,8.5,337,max
ts80283,2018,11,"['animation', 'action', 'comedy', 'scifi', 'sport']",2,6.8,683,max
ts76165,2017,11,"['animation', 'comedy']",2,7.3,83,max
ts80759,2018,29,"['documentation', 'sport']",1,6.1,408,max
ts84649,2018,30,['documentation'],4,6.5,359,max
ts89581,2018,10,"['animation', 'comedy', 'family']",3,4.0,824,max
ts77892,2018,11,"['comedy', 'animation', 'horror', 'scifi', 'action', 'crime']",2,5.8,362,max
ts55362,2017,24,[],2,4.9,290,max
ts86591,2018,21,['reality'],2,7.2,72,max
ts82377,2018,11,['comedy'],1,5.3,375,max
ts76184,2017,24,"['reality', 'comedy']",4,7.4,10,max
ts187021,2018,24,['reality'],1,8.4,25,max
ts80817,2017,27,"['drama', 'comedy']",1,5.3,34,max
ts104318,2017,24,['reality'],1,0.0,0,max
ts110062,2018,23,[],1,5.4,74,max
ts87383,2020,60,"['drama', 'history', 'crime']",2,7.5,20432,max
ts67396,2019,28,"['comedy', 'scifi', 'fantasy']",4,8.3,18894,max
ts88632,2019,65,"['drama', 'thriller', 'history']",1,9.4,779097,max
ts74636,2019,53,"['scifi', 'drama', 'family', 'fantasy']",3,7.8,77724,max
ts76135,2019,23,"['scifi', 'action', 'animation', 'comedy', 'crime', 'fantasy']",4,8.5,32230,max
ts87074,2019,58,"['crime', 'drama']",2,8.4,196454,max
ts80537,2019,21,"['comedy', 'drama', 'fantasy', 'romance']",4,7.1,15499,max
ts84322,2019,36,"['comedy', 'drama']",3,8.1,34300,max
ts81095,2019,50,"['scifi', 'action', 'comedy', 'drama']",4,7.8,55247,max
ts302787,2020,45,"['drama', 'thriller', 'comedy']",2,7.1,58008,max
ts186758,2020,28,"['comedy', 'scifi']",2,6.6,20794,max
ts84351,2020,61,"['drama', 'scifi', 'thriller', 'fantasy', 'horror']",1,7.1,43642,max
ts186931,2019,20,"['romance', 'comedy']",5,6.9,4596,max
ts90946,2019,22,"['animation', 'drama', 'action', 'fantasy', 'horror']",2,8.7,16295,max
ts81384,2019,59,"['scifi', 'crime', 'drama', 'action']",1,8.2,123743,max
ts81184,2019,53,"['drama', 'action', 'crime']",3,7.9,12684,max
ts104295,2019,27,['comedy'],3,8.2,2078,max
ts86177,2020,58,"['crime', 'drama', 'thriller', 'fantasy', 'documentation', 'action']",1,7.7,86428,max
ts214743,2020,54,"['drama', 'comedy', 'reality']",3,7.1,10732,max
ts85699,2020,56,"['drama', 'thriller', 'crime']",1,7.4,96132,max
ts39398,2020,59,"['documentation', 'crime']",2,0.0,0,max
ts82542,2020,42,"['scifi', 'action', 'drama', 'crime', 'fantasy']",3,7.2,19156,max
ts236846,2020,49,['drama'],2,0.0,0,max
ts218901,2020,39,"['comedy', 'drama']",2,6.9,3735,max
ts88636,2019,61,"['war', 'scifi', 'drama']",1,8.3,30848,max
ts87692,2019,60,"['drama', 'history', 'romance']",2,8.2,14453,max
ts87041,2019,24,['comedy'],2,7.8,7095,max
ts288175,2020,11,"['animation', 'comedy']",1,8.5,10519,max
ts75230,2019,55,"['action', 'crime', 'drama', 'history']",2,8.4,27676,max
ts223027,2020,59,['reality'],3,8.5,2550,max
ts236950,2020,31,['drama'],1,8.1,23146,max
ts88422,2019,24,['comedy'],3,8.1,4986,max
ts300471,2020,10,"['family', 'animation', 'comedy', 'thriller', 'action']",5,8.0,1519,max
ts213221,2020,61,"['scifi', 'drama', 'horror', 'thriller']",1,6.4,10455,max
ts251912,2020,26,['reality'],4,8.3,1053,max
ts88633,2019,29,"['comedy', 'fantasy', 'horror']",2,7.5,2404,max
ts80962,2019,24,"['comedy', 'animation']",3,7.4,7712,max
