id,release_year,runtime,genres,seasons,imdb_score,imdb_votes,platform
ts32309,2007,22,"['family', 'animation', 'scifi']",1,7.5,105,amazon
ts26203,2008,23,"['animation', 'comedy']",1,0.0,0,amazon
ts75255,2010,11,"['family', 'animation']",4,7.1,59,amazon
ts44381,2010,40,"['drama', 'comedy', 'romance']",3,5.3,367,amazon
ts41545,2008,45,[],1,0.0,0,amazon
ts32636,2003,10,"['animation', 'family', 'european']",4,6.7,257,amazon
ts246865,2001,29,"['comedy', 'family']",1,7.3,15,amazon
ts328378,2003,10,[],2,0.0,0,amazon
ts68436,2007,16,"['animation', 'comedy', 'family']",2,7.2,86,amazon
ts152168,2010,25,"['family', 'action', 'animation']",3,8.8,17,amazon
ts43355,2009,13,"['animation', 'comedy', 'family', 'european']",1,8.5,56,amazon
ts38969,2005,24,"['animation', 'comedy']",2,8.2,39,amazon
ts17364,2006,22,"['scifi', 'family', 'fantasy', 'animation']",3,6.5,626,amazon
ts14891,2009,25,['drama'],1,6.8,36,amazon
ts31569,2003,22,['documentation'],3,8.3,18,amazon
ts74519,2008,52,['documentation'],1,0.0,0,amazon
ts28902,2006,48,['documentation'],3,7.7,126,amazon
ts10441,2006,11,"['animation', 'fantasy']",3,5.0,111,amazon
ts56271,2004,24,['documentation'],1,0.0,0,amazon
ts33704,2007,59,"['documentation', 'reality']",1,8.5,81,amazon
ts75595,2005,16,['comedy'],1,0.0,0,amazon
ts25829,2008,47,['documentation'],3,8.6,55,amazon
ts9374,2009,45,"['documentation', 'war']",1,8.4,29,amazon
ts45140,2010,27,"['reality', 'family', 'animation']",5,7.9,27,amazon
ts74184,2003,25,"['comedy', 'fantasy', 'animation']",1,6.6,142,amazon
ts39192,2010,13,['animation'],1,7.5,14,amazon
ts29519,2010,22,['reality'],5,0.0,0,amazon
ts176695,2009,49,['documentation'],2,7.4,14,amazon
ts187948,2001,46,[],1,7.4,21,amazon
ts147420,2006,28,[],3,0.0,0,amazon
ts155102,2006,55,"['documentation', 'history']",1,7.7,7,amazon
ts98222,2006,26,[],1,0.0,0,amazon
ts297213,2009,44,['documentation'],1,7.2,61,amazon
